Date,Value (P)
3/28/2022 0:00,868223.8601
3/29/2022 0:00,880923.52
3/30/2022 0:00,873382.5
3/31/2022 0:00,862832.91
4/1/2022 0:00,865844.13
4/4/2022 0:00,873220.0199
4/5/2022 0:00,861321.5696
4/6/2022 0:00,851686.7601
4/7/2022 0:00,854232.3594
4/8/2022 0:00,851742.94
4/11/2022 0:00,838879.1799
4/12/2022 0:00,836343.61
4/13/2022 0:00,847623.2501
4/14/2022 0:00,837450.5099
4/15/2022 0:00,837450.5099
4/18/2022 0:00,835946.07
4/19/2022 0:00,850572.0701
4/20/2022 0:00,849600.06
4/21/2022 0:00,835240.7199
4/22/2022 0:00,812653.85
4/25/2022 0:00,818164.8
4/26/2022 0:00,794433.3001
4/27/2022 0:00,796064.7901
4/28/2022 0:00,815410.9394
4/29/2022 0:00,787239.6799
5/2/2022 0:00,792648.12
5/3/2022 0:00,795839.7101
5/4/2022 0:00,818613.0001
5/5/2022 0:00,788296.7399
5/6/2022 0:00,781659.88
5/9/2022 0:00,755451.6195
5/10/2022 0:00,757883.9799
5/11/2022 0:00,743457.8094
5/12/2022 0:00,744316.4901
5/13/2022 0:00,763629.0201
5/16/2022 0:00,759772.4395
5/17/2022 0:00,775548.5506
5/18/2022 0:00,744836.48
5/19/2022 0:00,741922.9899
5/20/2022 0:00,742324.2201
5/23/2022 0:00,754516.9399
5/24/2022 0:00,746764.57
5/25/2022 0:00,755675.21
5/26/2022 0:00,771250.04
5/27/2022 0:00,790160.0999
5/30/2022 0:00,790160.0999
5/31/2022 0:00,784421.3999
6/1/2022 0:00,778253.0299
6/2/2022 0:00,793981.16
6/3/2022 0:00,781635.6805
6/6/2022 0:00,786406.42
6/7/2022 0:00,794685.6495
6/8/2022 0:00,786328.72
6/9/2022 0:00,768465.79
6/10/2022 0:00,746115.13
6/13/2022 0:00,716107.5205
6/14/2022 0:00,714444.42
6/15/2022 0:00,724900.25
6/16/2022 0:00,699685.5405
6/17/2022 0:00,703068.11
6/20/2022 0:00,703068.11
6/21/2022 0:00,718446.31
6/22/2022 0:00,718004.21
6/23/2022 0:00,723845.75
6/24/2022 0:00,745253.72
6/27/2022 0:00,743777.58
6/28/2022 0:00,729182.88
6/29/2022 0:00,727969.19
6/30/2022 0:00,721614.68
7/1/2022 0:00,729383.92
7/4/2022 0:00,729383.92
7/5/2022 0:00,732559.59
7/6/2022 0:00,733690.14
7/7/2022 0:00,745312.11
7/8/2022 0:00,744370.83
7/11/2022 0:00,734632.98
7/12/2022 0:00,728937.95
7/13/2022 0:00,726366.7495
7/14/2022 0:00,723424.54
7/15/2022 0:00,737485.52
7/18/2022 0:00,732832.32
7/19/2022 0:00,752779.74
7/20/2022 0:00,759298.65
7/21/2022 0:00,766252.18
7/22/2022 0:00,758402.18
7/25/2022 0:00,759177.82
7/26/2022 0:00,750397.2705
7/27/2022 0:00,770404.4
7/28/2022 0:00,779411.91
7/29/2022 0:00,790031.17
8/1/2022 0:00,785831.87
8/2/2022 0:00,781427
8/3/2022 0:00,793756.82
8/4/2022 0:00,793008.1
8/5/2022 0:00,792649.45
8/8/2022 0:00,793294.7005
8/9/2022 0:00,788375.13
8/10/2022 0:00,805495.5
8/11/2022 0:00,805446.17
8/12/2022 0:00,818960.5
8/15/2022 0:00,822188.97
8/16/2022 0:00,823715.1005
8/17/2022 0:00,816838.61
8/18/2022 0:00,818689.55
8/19/2022 0:00,810494.455
8/22/2022 0:00,793479.7105
8/23/2022 0:00,791769.41
8/24/2022 0:00,794419.7
8/25/2022 0:00,805603.92
8/26/2022 0:00,779262.49
8/29/2022 0:00,773852.24
8/30/2022 0:00,765222.94
8/31/2022 0:00,759721.65
9/1/2022 0:00,759625.07
9/2/2022 0:00,752467.98
9/5/2022 0:00,752467.98
9/6/2022 0:00,749541.8
9/7/2022 0:00,762676.59
9/8/2022 0:00,768571.7
9/9/2022 0:00,781179.5695
9/12/2022 0:00,789947.9995
9/13/2022 0:00,757076.4405
9/14/2022 0:00,759612.38
9/15/2022 0:00,752165.42
9/16/2022 0:00,745698.0295
9/19/2022 0:00,750762.69
9/20/2022 0:00,742929.44
9/21/2022 0:00,730674.41
9/22/2022 0:00,722323.33
9/23/2022 0:00,709785.62
9/26/2022 0:00,702612.73
9/27/2022 0:00,702242.07
9/28/2022 0:00,713880.61
9/29/2022 0:00,699861.09
9/30/2022 0:00,690700.07
10/3/2022 0:00,708067.05
10/4/2022 0:00,732848.93
10/5/2022 0:00,731184.76
10/6/2022 0:00,724680.87
10/7/2022 0:00,704596.84
10/10/2022 0:00,699130.33
10/11/2022 0:00,694949.5005
10/12/2022 0:00,693064.36
10/13/2022 0:00,710190.36
10/14/2022 0:00,693940.14
10/17/2022 0:00,711648.66
10/18/2022 0:00,719630.86
10/19/2022 0:00,713870.04
10/20/2022 0:00,709555.38
10/21/2022 0:00,724525.7095
10/24/2022 0:00,732459.76
10/25/2022 0:00,746010.96
10/26/2022 0:00,741028.32
10/27/2022 0:00,737271.2095
10/28/2022 0:00,755557.2
10/31/2022 0:00,749981.22
11/1/2022 0:00,747053.53
11/2/2022 0:00,727600.37
11/3/2022 0:00,719559.82
11/4/2022 0:00,728092.3095
11/7/2022 0:00,735052.24
11/8/2022 0:00,738602.34
11/9/2022 0:00,723166.3695
11/10/2022 0:00,763714.39
11/11/2022 0:00,771453.58
11/14/2022 0:00,764482.44
11/15/2022 0:00,771719.92
